01-29 18:03:17.515 I/PackageUpdatedTask( 2785): added, appInfo : AppInfo(id=574 type=APP hidden=0 container=all_apps screen=-1 rank=0 rankOfList=-1 user=UserHandle{0} title=ASC componentName=ComponentInfo{com.asc.markets/com.asc.markets.MainActivity} screenType=0)
01-29 18:03:17.515 I/AppsModelWriter( 2785): addItems(start)> 0, 574, 0, -102, -1, 0, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:17.516 I/AppsModelWriter( 2785): normalizeVisibleItems(visibleItems)> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:17.803 I/AppsModelWriter( 2785): addItems(end) : addItem> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:17.807 I/Launcher.AppsPagedView( 2785): addItems => id: 574, rank: 14, screenId: 0, cellX: 4, cellY: 2, container: -102, dirty: false, title: ASC, isFolder: false, user: UserHandle{0}, disabled: false, screenType: 0
01-29 18:03:17.907 I/Launcher.AppsPageDelegate( 2785): updateItemToNewPosition = title : ASC , rank : 14 , screenId : 0, user: UserHandle{0}, pos: 14, screen: 0
01-29 18:03:43.593 D/ASC     (29364): snapshotFlow: drawerState.isOpen=true, vmIsOpen=true
01-29 18:03:45.324 D/ASC     (29364): snapshotFlow: drawerState.isOpen=false, vmIsOpen=true
01-29 18:03:45.325 D/ASC     (29364): viewModel.closeDrawer() called from snapshotFlow
01-29 18:03:45.331 D/ASC     (29364): AscTheme content block called
01-29 18:03:45.344 D/ASC     (29364): LaunchedEffect: isDrawerOpen=false
01-29 18:03:45.628 D/ASC     (29364): drawerState.close() called
01-29 18:03:45.724 D/ASC     (29364): GlobalHeader: menu icon clicked
01-29 18:03:45.731 D/ASC     (29364): AscTheme content block called
01-29 18:03:45.741 D/ASC     (29364): LaunchedEffect: isDrawerOpen=true
01-29 18:03:46.025 D/ASC     (29364): drawerState.open() called
01-29 18:03:46.025 D/ASC     (29364): snapshotFlow: drawerState.isOpen=true, vmIsOpen=true
01-29 18:03:46.870 D/ASC     (29364): AscTheme content block called
01-29 18:03:46.879 D/ASC     (29364): LaunchedEffect: isDrawerOpen=false
01-29 18:03:47.157 D/ASC     (29364): drawerState.close() called
01-29 18:03:47.157 D/ASC     (29364): snapshotFlow: drawerState.isOpen=false, vmIsOpen=false
01-29 18:03:59.200 D/ASC     (29364): AscSidebar composed: isCollapsed=false, currentView=PROFILE
